Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Zr,ele Num,Molar volum,Bulk module,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Microstructure,FCC,BCC,IM,hv,E (GPa),,,,
AlCrCuFeNi0.6,0.217391304,0,0.217391304,0.217391304,0.130434783,0.217391304,0,0,0,0,5,7.692173905,142.1739129,-2.684310019,13.24232516,1591.095651,5.759757982,0.123320475,7.391304348,FCC + BCC + Im,1,1,1,495,no,,,,
AlCrCuFeNi0.8,0.208333333,0,0.208333333,0.208333333,0.166666667,0.208333333,0,0,0,0,5,7.646249992,143.7499999,-3.402777778,13.35141737,1596.799998,5.693612319,0.123883906,7.5,FCC + BCC + Im,1,1,1,482,no,,,,
AlCrCuFeNi,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,5,7.604,145.2,-4,13.38161053,1602.048,5.628086233,0.124161186,7.6,FCC + BCC + Im,1,1,1,491,no,,,,
AlCrCuFeNi1.2,0.192307692,0,0.192307692,0.192307692,0.230769231,0.192307692,0,0,0,0,5,7.564999992,146.5384614,-4.49704142,13.35788527,1606.892306,5.56345786,0.124213502,7.692307692,FCC + BCC + Im,1,1,1,408,no,,,,
AlCrCuFeNi1.4,0.185185185,0,0.185185185,0.185185185,0.259259259,0.185185185,0,0,0,0,5,7.528888881,147.7777776,-4.910836763,13.2962002,1611.377776,5.499922875,0.124087893,7.777777778,FCC + BCC + Im,1,1,1,365,no,,,,
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.78,14.9,1629.70667,5.281130594,0.12,7.83,FCC + BCC,1,1,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,201,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,_,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,5,7.239999993,161.7777776,-9.09,13.15,1767.496665,4.602314544,0.11,7.67,FCC,1,0,0,no,no,,,,
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.78,14.9,1629.70667,5.281130594,0.12,7.83,FCC + BCC + Im,1,1,1,484.3,no,,,,
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,6,7.800000008,149.2727274,-17.92,14.7,1707.449093,6.717619519,0.13,6.91,BCC,0,1,0,683.2,no,,,,
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC + Im,0,1,1,no,no,,,,
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,FCC + BCC + Im,1,1,1,no,no,,,,
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.78,14.9,1629.70667,5.281130594,0.12,7.83,FCC + BCC,1,1,0,no,no,,,,
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.78,14.9,1629.70667,5.281130594,0.12,7.83,FCC + BCC,1,1,0,no,no,,,,
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC + Im,0,1,1,no,no,,,,
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,425,no,,,,
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,6,7.800000008,149.2727274,-17.92,14.7,1707.449093,6.717619519,0.13,6.91,BCC,0,1,0,500,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC + Im,1,0,1,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,230,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,141,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,6,7.63615383,151.5384613,-14.85207101,14.22238699,1693.974997,6.229766256,0.126774388,7.076923077,BCC + Im,0,1,1,no,no,,,,
AlCoCrFeNiTi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0.074074074,0,0,6,7.7474074,149.9999999,-16.98216735,14.58583089,1703.124072,6.575134692,0.131697788,6.962962963,BCC + Im,0,1,1,no,no,,,,
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,6,7.63615383,151.5384613,-14.85207101,14.22238699,1693.974997,6.229766256,0.126774388,7.076923077,BCC,0,1,0,460,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,169.7,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
